department,dep_id,municipality,mun_id,school_id,school_name,lat,long,address,program_ids,program_labels,program_labels_1,program_labels_2,program_labels_3,program_labels_4,program_labels_5,program_labels_6,modality_ids,modality_labels,modality_labels_1,modality_labels_2,modality_labels_3,modality_labels_4,modality_labels_5,modality_labels_6,modality_labels_7,modality_labels_8,modality_labels_9,modality_labels_10
León,5,El Sauce,45,2005,INSTITUTO JONATHAN GONZALEZ MORALES,12.884456,-86.534521,DEL BANCO DEL CAFÉ 2 CUADRAS AL ESTE Y ½ C. AL SUR.,33,"SECUNDARIA,SECUNDARIA",SECUNDARIA,SECUNDARIA,NA,NA,NA,NA,513,"SECUNDARIA REGULAR,SECUNDARIA POR ENCUENTRO",SECUNDARIA REGULAR,SECUNDARIA POR ENCUENTRO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2006,LA MONTAÑITA #2,12.91734,-86.50894,7 KILOMETROS AL NORESTE CARRETERA A ESTELI.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2007,PREESCOLAR NACASCOLO SUR,12.7294,-86.512200000000007,KM 18 CARRETERA A LEON.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2008,CENICERA SUR,12.741436,-86.522068,13 KILOMETROS AL SUR  DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410710,"PRIMARIA MULTIGRADO,III CICLO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,III CICLO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2009,SANTA BARBARA,12.8678,-86.5931,7 KMS CARRETERA A VILLA NUEVA.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2010,ARMENIA,12.870617,-86.5742,7 KMS Y ½ AL SUR-OESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2011,EL CARRIZO,12.938143,-86.539849,8 KILOMETROS AL NORESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1071411,"III CICLO,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL",III CICLO,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2012,LAS LIMAS,12.92511,-86.5254,5 KMS AL NORESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2013,SAN RAMON,12.85156,-86.52199,4 KMS SURESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1114,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2014,EL CACAO,12.879781,-86.449924,A 18 KMS DE EL SAUCE - CASERIA EL CACAO.,32,"SECUNDARIA,PRIMARIA",SECUNDARIA,PRIMARIA,NA,NA,NA,NA,13014,"PREESCOLAR COMUNITARIO,SECUNDARIA EN EL CAMPO,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO,SECUNDARIA EN EL CAMPO,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2015,CENTRO ESCOLAR LA LAGUNETA,12.9194,-86.608498,10  KMS NOROESTE DE EL SAUCE.,322,"SECUNDARIA,PRIMARIA,PRIMARIA",SECUNDARIA,PRIMARIA,PRIMARIA,NA,NA,NA,1311143,"SECUNDARIA POR ENCUENTRO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,PRIMARIA REGULAR",SECUNDARIA POR ENCUENTRO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2016,LA PUERTA,12.936009,-86.557657,11  KMS NORESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2017,CENTRO ESCOLAR OBDULIO Y ROLANDO LINARTE,12.883448,-86.53679,BANCO DEL CAFÉ 2 CUADRAS AL SUR.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,23,"PREESCOLAR FORMAL,PRIMARIA REGULAR",PREESCOLAR FORMAL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2018,RUBEN DARIO,12.886989,-86.542608,UNION FENOSA  2 CUADRAS AL OESTE ½ AL SUR.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1023,"PREESCOLAR COMUNITARIO MULTINIVEL,PREESCOLAR FORMAL,PRIMARIA REGULAR",PREESCOLAR COMUNITARIO MULTINIVEL,PREESCOLAR FORMAL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2019,COLEGIO SAN LUIS GONZAGA,12.8784,-86.5413,DE LOS JUZGADOS 2C AL SUR-REPARTO ESQUIPULAS-BAVISNIC.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,32,"PRIMARIA REGULAR,PREESCOLAR FORMAL",PRIMARIA REGULAR,PREESCOLAR FORMAL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2020,LOS PANALES #2,12.887342,-86.582776,7  KILOMETROS OESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2021,LAS PILAS,12.950534,-86.576628,12 KM NOROESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,11141,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO",PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2022,PREESCOLAR LA PALMA,12.928167,-86.57575,7 KILOMETROS AL NORESTE DE EL SAUCE.,23,"PRIMARIA,SECUNDARIA",PRIMARIA,SECUNDARIA,NA,NA,NA,NA,11145,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,SECUNDARIA REGULAR",PREESCOLAR FORMAL MULTINIVEL,PRIMARIA MULTIGRADO,SECUNDARIA REGULAR,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2023,CENTRO ESCOLAR RIGOBERTO LÓPEZ PÉREZ,12.98806,-86.571889,13 KMS AL NOROESTE DE EL SAUCE.,322,"SECUNDARIA,PRIMARIA,PRIMARIA",SECUNDARIA,PRIMARIA,PRIMARIA,NA,NA,NA,10511314,"PREESCOLAR COMUNITARIO MULTINIVEL,SECUNDARIA REGULAR,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,SECUNDARIA REGULAR,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA
León,5,El Sauce,45,2024,PREESCOLAR CAMPAMENTO,12.99108,-86.48519,COMARCA CAMPAMENTO.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2025,LA MONTAÑA,12.92875,-86.4558,24 KMS AL NORESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2026,SAN MARTIN #1,12.7841,-86.4832,15 KILOMETROS SURESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2027,SAN ANTONIO VIEJO,12.75501,-86.50707,15 KILOMETROS AL SUR CARRETERA A LEON 3 KILOMETROS AL ESTE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2028,EL TEMPISQUE (EL CLAVEL),12.735619,-86.4655,23 KILOMETROS AL SURESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1010714,"PREESCOLAR COMUNITARIO MULTINIVEL,III CICLO,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,III CICLO,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2029,SABANA GRANDE,12.818688999999999,-86.484559,10  KMS SURESTE DE EL SAUCE.,322,"SECUNDARIA,PRIMARIA,PRIMARIA",SECUNDARIA,PRIMARIA,PRIMARIA,NA,NA,NA,514113,"SECUNDARIA REGULAR,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR",SECUNDARIA REGULAR,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2030,SAN MARTIN #2,12.775149,-86.493588,17 KMS AL SURESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
