Nombre,Latitud,Longitud,Direccion,Modalidades,department,municipality,dep_id,mun_id
SAN ANDRES BAJO,12.57408000,-85.60544000,COMARCA SAN ANDRES BAJO.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN MARTIN,12.63284000,-85.60600000,CASA DE AGUSTIN URBINA 120 VRS. AL NORTE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR SIMÒN BOLIVAR.,12.61041000,-85.65632000,COMARCA EL BEJUCO.,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
SALOMÓN DE LA SELVA (EL TRAPICHITO),12.69888000,-85.38485000,"CTRA. A SAN JOSE LA VEGA, ENTRADA A LOS TABACALES.","III CICLO, PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR MARIA AUXILIADORA.,12.45580000,-85.53331000,VILLA BOACO VIEJO.,"III CICLO, IV CICLO, PRIMARIA REGULAR, SECUNDARIA REGULAR, PREESCOLAR FORMAL MULTINIVEL",Boaco,Boaco,11,100
RUBEN DARIO,12.69537000,-85.54693000,FTE. AL CENTRO DE SALUD.,"PREESCOLAR FORMAL MULTINIVEL, SECUNDARIA REGULAR, PRIMARIA REGULAR",Boaco,Boaco,11,100
SANTA JUANA,12.56533000,-85.62700000,CARRETERA A CUMAICA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO, ALFABETIZACION",Boaco,Boaco,11,100
PRE ESCOLAR TULIA C. BARQUERO (MAURICIO DUARTE),12.47267000,-85.66118000,POLICIA NAC. ½ C. AL OESTE.,PREESCOLAR FORMAL,Boaco,Boaco,11,100
CENTRO ESCOLAR JOAQUIN PASOS.,12.56257000,-85.45124000,34 KM. AL ESTE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO, III CICLO, ALFABETIZACION, PRIMARIA REGULAR",Boaco,Boaco,11,100
EL JORDAN,12.46930000,-85.65890000,PROFAMILIA 25 VRS. AL NORTE.,"PREESCOLAR FORMAL MULTINIVEL, SECUNDARIA REGULAR, PRIMARIA REGULAR",Boaco,Boaco,11,100
