department,municipality,dep_id,mun_id,Nombre,Direccion,Latitud,Longitud,Modalidades
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN JUAN.,TABACAL SUR.,12.69247000,-85.45506000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,CENTRO ESCOLAR TABACAL NORTE MIGUEL LARREYNAGA,TABACAL SAN PABLO.,12.70672000,-85.40733000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR ENMANUEL MONGALO.,CARRETERA LA VEGA EMPALME EL CONGO.,12.59138600,-85.37707100,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN NICOLAS,CARRETERA A SAN BUENA VENTURA.,12.48924000,-85.65303000,"III CICLO, PRIMARIA REGULAR, IV CICLO, PREESCOLAR FORMAL MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR ANDRÉS GONZÁLES CASTILLO.,CAPITAN Nº 1.,12.60148000,-85.64371000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN JUAN BAUTISTA,FTE. A LA BASE MILITAR.,12.50198000,-85.63956000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,TASWA SAN RAMON,TIENDA CAMPESINA 5 C. AL OESTE.,12.57587000,-85.63613000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SANTA SOFIA.,COMARCA TASWA #2.,12.60968000,-85.59299000,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR OLIVIA SOMOZA,FTE. A CASA DE BAYARDO ROBLETO.,12.53566000,-85.62746000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO"
Boaco,Boaco,11,100,CENTRO ESCOLAR JESUS DE LAS BUENAS ESPERANZA.,CARRETERA A CUMAICA SUR.,12.62053000,-85.63028300,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR LETICIA SOTELO CORONADO.,COMARCA SAGUATEPE.,12.51834200,-85.65279400,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR MONSEÑOR RAFAEL OBREGÒN.,BASE MILITAR 4 KM. AL ESTE.,12.51792000,-85.61118000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN JORGE.,ENTRADA AL BALSAMO KM 13½ SAN BUENAVENTURA.,12.52273000,-85.60789000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SAN ANDRES BAJO,COMARCA SAN ANDRES BAJO.,12.57408000,-85.60544000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN MARTIN,CASA DE AGUSTIN URBINA 120 VRS. AL NORTE.,12.63284000,-85.60600000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR SIMÒN BOLIVAR.,COMARCA EL BEJUCO.,12.61041000,-85.65632000,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SALOMÓN DE LA SELVA (EL TRAPICHITO),"CTRA. A SAN JOSE LA VEGA, ENTRADA A LOS TABACALES.",12.69888000,-85.38485000,"III CICLO, PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR MARIA AUXILIADORA.,VILLA BOACO VIEJO.,12.45580000,-85.53331000,"III CICLO, IV CICLO, PRIMARIA REGULAR, SECUNDARIA REGULAR, PREESCOLAR FORMAL MULTINIVEL"
Boaco,Boaco,11,100,RUBEN DARIO,FTE. AL CENTRO DE SALUD.,12.69537000,-85.54693000,"PREESCOLAR FORMAL MULTINIVEL, SECUNDARIA REGULAR, PRIMARIA REGULAR"
Boaco,Boaco,11,100,SANTA JUANA,CARRETERA A CUMAICA.,12.56533000,-85.62700000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO, ALFABETIZACION"
Boaco,Boaco,11,100,PRE ESCOLAR TULIA C. BARQUERO (MAURICIO DUARTE),POLICIA NAC. ½ C. AL OESTE.,12.47267000,-85.66118000,PREESCOLAR FORMAL
Boaco,Boaco,11,100,CENTRO ESCOLAR JOAQUIN PASOS.,34 KM. AL ESTE.,12.56257000,-85.45124000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, SECUNDARIA EN EL CAMPO, III CICLO, ALFABETIZACION, PRIMARIA REGULAR"
Boaco,Boaco,11,100,EL JORDAN,PROFAMILIA 25 VRS. AL NORTE.,12.46930000,-85.65890000,"PREESCOLAR FORMAL MULTINIVEL, SECUNDARIA REGULAR, PRIMARIA REGULAR"
Boaco,Boaco,11,100,CENTRO ESCOLAR CELESTINA ROBLETO.,22 KM. AL ESTE DE BOACO.,12.57101500,-85.54355100,"PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO, IV CICLO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR ROBERTO GUILLEN BARQUERO.,BOACO VIEJO CARRETERA A  LA REYNA  Nº 1.,12.47510200,-85.51898100,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
